import time: self [us] | cumulative | imported package
import time:      2162 |      53790 |                 numpy._core.einsumfunc
import time:      3238 |       3238 |                 numpy._core.function_base
import time:      1144 |       1144 |                 numpy._core.getlimits
import time:      1304 |       1304 |                 numpy._core.memmap
import time:      2668 |       2668 |                 numpy._core.records
import time:     14639 |      14639 |                 numpy._core._add_newdocs
import time:      4174 |       4174 |                 numpy._core._add_newdocs_scalars
import time:      1136 |       1136 |                 numpy._core._dtype
import time:       679 |        679 |                 numpy._core._dtype_ctypes
import time:      8334 |       8334 |                     sysconfig
import time:      9269 |       9269 |                     _ctypes
import time:      1510 |       1510 |                     ctypes._endian
import time:      3040 |      22152 |                   ctypes
import time:      3140 |      25291 |                 numpy._core._internal
import time:      1075 |       1075 |                 numpy._pytesttester
import time:      1898 |     158094 |               numpy._core
import time:        87 |     158180 |             numpy._core._multiarray_umath
import time:      1167 |     159347 |           numpy.__config__
import time:      1967 |       1967 |                             numpy._typing._nbit_base
import time:      1304 |       1304 |                             numpy._typing._nested_sequence
import time:       850 |        850 |                             numpy._typing._shape
import time:      6599 |      10719 |                           numpy._typing._array_like
import time:      1034 |       1034 |                           numpy._typing._char_codes
import time:      2040 |       2040 |                           numpy._typing._dtype_like
import time:       771 |        771 |                           numpy._typing._nbit
import time:       753 |        753 |                           numpy._typing._scalars
import time:       616 |        616 |                           numpy._typing._ufunc
import time:      1523 |      17452 |                         numpy._typing
import time:       647 |        647 |                             numpy.lib._array_utils_impl
import time:      1186 |       1833 |                           numpy.lib._stride_tricks_impl
import time:      1660 |       3493 |                         numpy.lib._twodim_base_impl
import time:       479 |        479 |                         numpy.lib.array_utils
import time:      6416 |       6416 |                         numpy.linalg._umath_linalg
import time:      6380 |      34218 |                       numpy.linalg._linalg
import time:      1036 |      35253 |                     numpy.linalg
import time:      1390 |      36642 |                   numpy.matrixlib.defmatrix
import time:       964 |      37606 |                 numpy.matrixlib
import time:      1939 |       1939 |                   numpy.lib._histograms_impl
import time:      3533 |       5472 |                 numpy.lib._function_base_impl
import time:      1502 |      44578 |               numpy.lib._index_tricks_impl
import time:      1915 |      46493 |             numpy.lib._arraypad_impl
import time:      3714 |       3714 |             numpy.lib._arraysetops_impl
import time:      1044 |       1044 |             numpy.lib._arrayterator_impl
import time:      1745 |       1745 |             numpy.lib._nanfunctions_impl
import time:       304 |        304 |                       _wmi
import time:      2738 |       3041 |                     platform
import time:       886 |       3927 |                   numpy.lib._utils_impl
import time:       999 |       4926 |                 numpy.lib._format_impl
import time:       682 |       5608 |               numpy.lib.format
import time:      1118 |       1118 |               numpy.lib._datasource
import time:      1473 |       1473 |               numpy.lib._iotools
import time:      2191 |      10388 |             numpy.lib._npyio_impl
import time:       787 |        787 |                 numpy.lib._ufunclike_impl
import time:      1447 |       2234 |               numpy.lib._type_check_impl
import time:      1771 |       4004 |             numpy.lib._polynomial_impl
import time:      1310 |       1310 |             numpy.lib._shape_base_impl
import time:       562 |        562 |             numpy.lib._version
import time:       467 |        467 |             numpy.lib.introspect
import time:       982 |        982 |             numpy.lib.mixins
import time:       445 |        445 |             numpy.lib.npyio
import time:      1023 |       1023 |               numpy.lib._scimath_impl
import time:       531 |       1554 |             numpy.lib.scimath
import time:       505 |        505 |             numpy.lib.stride_tricks
import time:      1953 |      75160 |           numpy.lib
import time:       734 |        734 |           numpy._array_api_info
import time:      5395 |     245746 |         numpy
import time:      1307 |       1307 |           numpy._typing._add_docstring
import time:      1148 |       2454 |         numpy.typing
import time:      1122 |       1122 |             onnxruntime.capi
import time:       481 |        481 |             onnxruntime.capi._ld_preload
import time:     55821 |      55821 |             onnxruntime.capi.onnxruntime_pybind11_state
import time:      1058 |      58480 |           onnxruntime.capi._pybind_state
import time:       919 |        919 |           onnxruntime.capi.onnxruntime_validation
import time:      2655 |       2655 |           onnxruntime.capi.onnxruntime_inference_collection
import time:       158 |        158 |           onnxruntime.experimental
import time:       533 |        533 |           onnxruntime.capi.build_and_package_info
import time:      2132 |      64874 |         onnxruntime
import time:       465 |        465 |           magika.colors
import time:       823 |       1287 |         magika.logger
import time:      1283 |       1283 |               magika.types.strenum
import time:      8980 |      10263 |             magika.types.content_type_label
import time:      2851 |      13113 |           magika.types.content_type_info
import time:       874 |        874 |           magika.types.magika_error
import time:       897 |        897 |             magika.types.overwrite_reason
import time:      2465 |       3361 |           magika.types.magika_prediction
import time:       912 |        912 |             magika.types.status
import time:      1072 |       1984 |           magika.types.magika_result
import time:      6755 |       6755 |           magika.types.model
import time:       949 |        949 |           magika.types.prediction_mode
import time:       698 |        698 |           magika.types.seekable
import time:      1137 |      28868 |         magika.types
import time:      2068 |     345295 |       magika.magika
import time:      1303 |     354018 |     magika
import time:      2400 |       2400 |     markitdown._stream_info
import time:       723 |        723 |     markitdown._uri_utils
import time:       657 |        657 |         markitdown._base_converter
import time:       791 |        791 |               cobble.inflection
import time:      1066 |       1856 |             cobble
import time:       527 |        527 |               mammoth.lists
import time:      1047 |       1574 |             mammoth.results
import time:       544 |        544 |             mammoth.zips
import time:     12789 |      12789 |               mammoth.documents
import time:       718 |      13506 |             mammoth.docx.document_xml
import time:       751 |        751 |             mammoth.docx.content_types_xml
import time:       762 |        762 |             mammoth.docx.relationships_xml
import time:      1050 |       1050 |               mammoth.docx.styles_xml
import time:      2188 |       3238 |             mammoth.docx.numbering_xml
import time:       540 |        540 |             mammoth.docx.notes_xml
import time:       521 |        521 |             mammoth.docx.comments_xml
import time:       226 |        226 |               urllib2
import time:       584 |        809 |             mammoth.docx.files
import time:       830 |        830 |               mammoth.transforms
import time:       675 |        675 |               mammoth.docx.complex_fields
import time:      1008 |       1008 |               mammoth.docx.dingbats
import time:       611 |        611 |                     xml
import time:      1063 |       1063 |                     xml.dom.domreg
import time:      1314 |       2988 |                   xml.dom
import time:       740 |        740 |                   xml.dom.minicompat
import time:       417 |        417 |                     xml.dom.NodeFilter
import time:      1017 |       1434 |                   xml.dom.xmlbuilder
import time:      2645 |       7805 |                 xml.dom.minidom
import time:      1967 |       9772 |               mammoth.docx.xmlparser
import time:       528 |        528 |               mammoth.docx.uris
import time:      1454 |      14264 |             mammoth.docx.body_xml
import time:       420 |        420 |             mammoth.docx.office_xml
import time:      2569 |      41348 |           mammoth.docx
import time:      4015 |       4015 |                 mammoth.html.nodes
import time:       816 |       4831 |               mammoth.html
import time:      1279 |       6109 |             mammoth.html_paths
import time:       534 |        534 |             mammoth.images
import time:       737 |        737 |                       xml.sax.handler
import time:       714 |        714 |                       xml.sax._exceptions
import time:      1198 |       2647 |                     xml.sax.xmlreader
import time:       516 |       3163 |                   xml.sax
import time:       847 |       4009 |                 xml.sax.saxutils
import time:       430 |        430 |                 mammoth.writers.abc
import time:       899 |       5337 |               mammoth.writers.html
import time:       775 |        775 |               mammoth.writers.markdown
import time:       575 |       6686 |             mammoth.writers
import time:      4424 |      17751 |           mammoth.conversion
import time:       719 |        719 |               mammoth.styles
import time:       868 |        868 |               mammoth.styles.parser.errors
import time:      1731 |       1731 |                 mammoth.styles.parser.tokeniser
import time:      2231 |       2231 |                   mammoth.document_matchers
import time:       602 |        602 |                   mammoth.styles.parser.token_parser
import time:       904 |       3737 |                 mammoth.styles.parser.document_matcher_parser
import time:      1400 |       1400 |                 mammoth.styles.parser.html_path_parser
import time:       456 |       7322 |               mammoth.styles.parser.style_mapping_parser
import time:       471 |        471 |               mammoth.styles.parser.token_iterator
import time:       911 |      10289 |             mammoth.styles.parser
import time:      4018 |      14307 |           mammoth.options
import time:       434 |        434 |           mammoth.underline
import time:       367 |        367 |           mammoth.raw_text
import time:       380 |        380 |             xml.etree
import time:      1369 |       1369 |               xml.etree.ElementPath
import time:      4630 |       4630 |                 pyexpat
import time:      4400 |       9030 |               _elementtree
import time:      2140 |      12538 |             xml.etree.ElementTree
import time:       446 |      13363 |           mammoth.docx.style_map
import time:      1523 |      89089 |         mammoth
import time:       909 |      90655 |       markitdown.converters._plain_text_converter
import time:      3540 |       3540 |                   typing_extensions
import time:      2051 |       5591 |                 bs4._typing
import time:      1991 |       1991 |                   soupsieve.__meta__
import time:      1178 |       1178 |                     soupsieve.util
import time:      3643 |       3643 |                         soupsieve.pretty
import time:      1517 |       5159 |                       soupsieve.css_types
import time:      3072 |       8230 |                     soupsieve.css_match
import time:     51444 |      60852 |                   soupsieve.css_parser
import time:      1398 |      64240 |                 soupsieve
import time:       805 |      70634 |               bs4.css
import time:      1369 |       1369 |               bs4._deprecation
import time:      3196 |       3196 |                       html.entities
import time:      1250 |       4445 |                     html
