import time: self [us] | cumulative | imported package
import time:      2102 |       2102 |             xlrd.formatting
import time:      5385 |       5385 |               xlrd.formula
import time:      5394 |      10778 |             xlrd.sheet
import time:      7230 |      22139 |           xlrd.book
import time:      1025 |       1025 |           xlrd.info
import time:      1001 |       1001 |           xlrd.xldate
import time:      3687 |      38970 |         xlrd
import time:      1044 |    1721806 |       markitdown.converters._xlsx_converter
import time:       675 |        675 |         markitdown.converters._llm_caption
import time:      3207 |       3207 |           pptx.exc
import time:       643 |        643 |               pptx.opc
import time:      1812 |       2454 |             pptx.opc.constants
import time:      4343 |       4343 |                     pptx.oxml.ns
import time:      2449 |       2449 |                         pptx.util
import time:      5708 |       8157 |                       pptx.oxml.simpletypes
import time:     10935 |      10935 |                       pptx.oxml.xmlchemy
import time:      1032 |      20123 |                     pptx.oxml.action
import time:      2291 |       2291 |                       pptx.oxml.chart
import time:      1021 |       1021 |                         pptx.enum
import time:      4778 |       4778 |                         pptx.enum.base
import time:      6752 |      12550 |                       pptx.enum.chart
import time:      7657 |       7657 |                       pptx.oxml.chart.shared
import time:      9936 |       9936 |                         pptx.enum.lang
import time:      4498 |       4498 |                         pptx.enum.text
import time:      1475 |       1475 |                           pptx.oxml.dml
import time:      6729 |       6729 |                           pptx.enum.dml
import time:      5347 |      13549 |                         pptx.oxml.dml.fill
import time:      9054 |      37036 |                       pptx.oxml.text
import time:      6207 |      65739 |                     pptx.oxml.chart.axis
import time:      5054 |       5054 |                     pptx.oxml.chart.chart
import time:      7079 |       7079 |                     pptx.oxml.chart.datalabel
import time:      1963 |       1963 |                     pptx.oxml.chart.legend
import time:       865 |        865 |                     pptx.oxml.chart.marker
import time:      4229 |       4229 |                     pptx.oxml.chart.plot
import time:      4163 |       4163 |                     pptx.oxml.chart.series
import time:      4107 |       4107 |                     pptx.oxml.coreprops
import time:      3193 |       3193 |                     pptx.oxml.dml.color
import time:       661 |        661 |                     pptx.oxml.dml.line
import time:      1205 |       1205 |                     pptx.oxml.presentation
import time:      2631 |       2631 |                       pptx.oxml.shapes
import time:     15256 |      15256 |                       pptx.enum.shapes
import time:      3753 |       3753 |                           pptx.dml
import time:      1342 |       1342 |                           pptx.dml.color
import time:      1217 |       1217 |                           pptx.shared
import time:      2480 |       8791 |                         pptx.dml.fill
import time:      4633 |      13423 |                       pptx.oxml.shapes.shared
import time:      6424 |      37733 |                     pptx.oxml.shapes.autoshape
import time:      1751 |       1751 |                     pptx.oxml.shapes.connector
import time:      6690 |       6690 |                       pptx.oxml.table
import time:      3956 |       3956 |                       pptx.spec
import time:      2914 |      13559 |                     pptx.oxml.shapes.graphfrm
import time:      2801 |       2801 |                       pptx.oxml.shapes.picture
import time:      2792 |       5593 |                     pptx.oxml.shapes.groupshape
import time:      7119 |       7119 |                     pptx.oxml.slide
import time:      3925 |       3925 |                     pptx.oxml.theme
import time:      4504 |     196898 |                   pptx.oxml
import time:      5563 |     202460 |                 pptx.opc.oxml
import time:      3067 |       3067 |                 pptx.opc.packuri
import time:      2745 |       2745 |                   pptx.opc.shared
import time:       619 |        619 |                   pptx.opc.spec
import time:      4487 |       7851 |                 pptx.opc.serialized
import time:      3744 |     217120 |               pptx.opc.package
import time:      3443 |       3443 |                 pptx.parts
import time:      3532 |       6974 |               pptx.parts.coreprops
import time:      2585 |       2585 |               pptx.parts.image
import time:      1216 |       1216 |               pptx.parts.media
import time:      3258 |     231151 |             pptx.package
import time:      1755 |     235360 |           pptx.api
import time:       547 |        547 |               pptx.chart
import time:      2433 |       2433 |                   pptx.dml.line
import time:       899 |       3332 |                 pptx.dml.chtfmt
import time:       826 |        826 |                   pptx.text
import time:      2366 |       2366 |                   pptx.shapes
import time:     57117 |      57117 |                   pptx.text.fonts
import time:      1585 |       1585 |                       PIL._typing
import time:     38407 |      38407 |                       PIL._imagingft
import time:      6855 |      46846 |                     PIL.ImageFont
import time:      4178 |      51024 |                   pptx.text.layout
import time:      3708 |     115039 |                 pptx.text.text
import time:      2002 |     120372 |               pptx.chart.axis
import time:       879 |        879 |               pptx.chart.legend
import time:      1786 |       1786 |                 pptx.chart.category
import time:       787 |        787 |                 pptx.chart.datalabel
import time:      1908 |       1908 |                   pptx.chart.marker
import time:      3937 |       3937 |                   pptx.chart.point
import time:      2262 |       8106 |                 pptx.chart.series
import time:      2648 |      13326 |               pptx.chart.plot
import time:      4092 |       4092 |               pptx.chart.xmlwriter
import time:      2035 |     141249 |             pptx.chart.chart
import time:      3002 |       3002 |             pptx.parts.embeddedpackage
import time:      1010 |     145260 |           pptx.parts.chart
import time:       768 |        768 |                   pptx.media
import time:      1216 |       1216 |                         pptx.enum.action
import time:       979 |       2195 |                       pptx.action
import time:       527 |        527 |                       pptx.dml.effect
import time:      1849 |       4571 |                     pptx.shapes.base
import time:      1743 |       6313 |                   pptx.shapes.autoshape
import time:      1467 |       1467 |                   pptx.shapes.connector
import time:      1442 |       1442 |                   pptx.shapes.freeform
import time:      5221 |       5221 |                     pptx.table
import time:      4290 |       9511 |                   pptx.shapes.graphfrm
import time:      4599 |       4599 |                   pptx.shapes.group
import time:      1701 |       1701 |                   pptx.shapes.picture
import time:      2772 |       2772 |                   pptx.shapes.placeholder
import time:      4130 |      32700 |                 pptx.shapes.shapetree
import time:      3383 |      36082 |               pptx.slide
import time:      2364 |      38446 |             pptx.parts.slide
import time:      1705 |       1705 |             pptx.presentation
import time:      1423 |      41574 |           pptx.parts.presentation
import time:      1590 |     426988 |         pptx
import time:      1128 |     428790 |       markitdown.converters._pptx_converter
import time:      1062 |       1062 |         markitdown.converters._exiftool
import time:      1785 |       2847 |       markitdown.converters._image_converter
import time:       813 |        813 |           speech_recognition
import time:      1227 |       2040 |         markitdown.converters._transcribe_audio
import time:      2042 |       4081 |       markitdown.converters._audio_converter
import time:       855 |        855 |         olefile
import time:      3054 |       3908 |       markitdown.converters._outlook_msg_converter
import time:      1415 |       1415 |       markitdown.converters._zip_converter
import time:       256 |        256 |             azure
import time:        48 |        304 |           azure.ai
import time:        52 |        355 |         azure.ai.documentintelligence
import time:      1705 |       2060 |       markitdown.converters._doc_intel_converter
import time:       247 |        247 |             azure
import time:        44 |        290 |           azure.ai
import time:        45 |        335 |         azure.ai.contentunderstanding
import time:      2847 |       3181 |       markitdown.converters._cu_converter
import time:      1782 |       1782 |       markitdown.converters._epub_converter
import time:       822 |        822 |       markitdown.converters._csv_converter
import time:      1223 |    2564010 |     markitdown.converters
import time:      3944 |    3350576 |   markitdown._markitdown
import time:      1309 |    3352795 | markitdown
